section name,section type,size
.text.CFW_SatGetOpenChannelDestAddress,text,88
.text.CFW_SatGetOpenChannelNetInfoV2,text,92
.text.CFW_GetEleFence,text,56
.text.CFW_SetEleFence,text,56
.text.CFW_GetEleFenceTimer,text,56
.text.CFW_SetEleFenceTimer,text,56
.text.CFW_SimGetEID,text,48
.text.CFW_GprsHostAddress,text,96
.text.SimSendStatusReq,text,48
.text.Cfw_SetTimezone,text,48
.text.CFW_SmsListFree,text,56
.text.CFW_CfgGetPocEnable,text,56
.text.CFW_CfgSetEnhancePwrSweepNonCE,text,56
.text.CFW_CfgGetEnhancePwrSweepNonCE,text,56
.text.CFW_NwSetSimSwich,text,48
.text.CFW_NwSetPocSimIndex,text,48
.text.CFW_EnableLpsLock,text,48
.text.CFW_EmodSetPowerMode,text,60
.text.CFW_UpdateNV,text,48
.text.CFW_EmodSetPSMThd,text,44
.text.CFW_EmodGetPSMThd,text,48
.text.CFW_SatGetOpenChannelBearerDes,text,80
.text.CFW_SatGetChannelID,text,52
.text.CFW_SimPollReq,text,48
.text.CFW_SetLCTimerEx,text,56
.text.CFW_GetLCTimerEx,text,56
.text.CFW_SetLimiteTimer,text,56
.text.CFW_GetLctLoopCout,text,56
.text.CFW_SetLctLoopCout,text,56
.text.CFW_SetLmtLoopCout,text,56
.text.CFW_GetLctMaxLen,text,56
.text.CFW_SetLctMaxLen,text,56
.text.CFW_SetLmtMaxLen,text,56
.text.CFW_CfgSetPeriodTauAftLocalRel,text,56
.text.CFW_CfgGetPeriodTauAftLocalRel,text,56
.text.CFW_WifiScanStart,text,100
.text.CFW_WifiScanStop,text,56
.text.CFW_LocGetWifiscanRes,text,84
.text.CFW_WifiSentestOn,text,40
.text.CFW_WifiSentestOff,text,40
.text.CFW_WifiSentestSetParam,text,64
.text.CFW_WifiSentestGetSingleRes,text,68
.text.CFW_SetMoSmsRetryCount,text,60
.text.CFW_GetLteBlkList,text,48
.text.CFW_SatGetDisplayText,text,108
.text.CFW_NwSetMaxAttFailForIratReq,text,56
.text.CFW_GetDefaultPcoControl,text,56
.text.CFW_SetDefaultPcoControl,text,56
.text.PCNgisYfirev,text,68
.text.RPC_CFW_GetSSimFileInfoFromAP,text,16
.text.RPC_CFW_GetDftPdnInfoFromAP,text,16
.text.RPC_CFW_GetIMEIFromAP,text,12
.text.RPC_CFW_GetBootCausesFromAP,text,12
.text.RPC_CFW_WifiSentestGetResult,text,40
.text.RPC_CFW_MeDeleteMessageV2,text,34
.text.RPC_CFW_MeWriteMessageV2,text,46
.text.RPC_CFW_MeReadMessageV2,text,30
.text.RPC_CFW_MeListMessageV2,text,44
.text.RPC_CFW_MeGetStorageInfoV2,text,42
.text.RPC_SMS_DM_Init_V2,text,12
.text.RPC_CFW_SetSoftSimDefaultInfo,text,20
.text.RPC_CFW_GetDefaultApn,text,14
.text.RPC_CFW_GetApnInfo,text,16
.text.RPC_CFW_GetDetectMBS,text,14
.text.RPC_CFW_GetDefaultLteCidCtoA,text,12
.text.RPC_sim_GetSimCardModeCB,text,14
.text.RPC_sim_VsimResetCB,text,22
.text.RPC_sim_VsimProcessApduCB,text,48
.text.RPC_CFW_WriteLongSmsInfo,text,26
.text.RPC_CFW_NwGetLockBCCHCtoA,text,12
.text.RPC_CFW_NwIsUseISIM,text,12
.text.RECV_EV_CFW_CC_SPEECH_CALL_IND,text,8
.text.RECV_EV_CFW_CC_INITIATE_SPEECH_CALL_RSP,text,16
.text.RECV_EV_CFW_NEW_SMS_IND,text,26
.text.RECV_EV_CFW_NEW_EMS_IND,text,4
.text.RECV_EV_CFW_SS_USSD_IND,text,18
.text.RECV_EV_CFW_NW_NETWORKINFO_IND,text,10
.text.RECV_EV_CFW_NW_SET_REGISTRATION_RSP,text,16
.text.RECV_EV_CFW_GPRS_DATA_IND,text,12
.text.RECV_EV_CFW_NW_JAMMING_DETECT_IND,text,8
.text.RECV_EV_CFW_MBS_CALL_INFO_IND,text,8
.text.RECV_EV_CFW_SIM_GET_PBK_ENTRY_RSP,text,16
.text.RECV_EV_CFW_SIM_LIST_PBK_ENTRY_RSP,text,20
.text.RECV_EV_CFW_SIM_GET_PBK_STRORAGE_RSP,text,16
.text.RECV_EV_CFW_SIM_GET_PBK_STRORAGE_INFO_RSP,text,16
.text.RECV_EV_CFW_SIM_GET_PROVIDER_ID_RSP,text,4
.text.RECV_EV_CFW_SIM_CHANGE_PWD_RSP,text,4
.text.RECV_EV_CFW_SIM_READ_BINARY_RSP,text,16
.text.RECV_EV_CFW_SIM_GET_PREF_OPERATOR_LIST_RSP,text,4
.text.RECV_EV_CFW_SIM_GET_FILE_STATUS_RSP,text,4
.text.RECV_EV_CFW_SIM_READ_RECORD_RSP,text,4
.text.RECV_EV_CFW_SIM_READ_MESSAGE_RSP,text,22
.text.RECV_EV_CFW_SIM_LIST_MESSAGE_RSP,text,4
.text.RECV_EV_CFW_SMS_READ_MESSAGE_RSP,text,18
.text.RECV_EV_CFW_SIM_TPDU_COMMAND_RSP,text,4
.text.RECV_EV_CFW_SIM_GET_DF_STATUS_RSP,text,4
.text.RECV_EV_CFW_SIM_GET_CDMA_IMSI_RSP,text,4
.text.RECV_EV_CFW_NW_GET_AVAIL_OPERATOR_RSP,text,28
.text.RECV_EV_CFW_NW_GET_QSCANF_RSP,text,18
.text.RECV_EV_CFW_NW_GET_FREQSCAN_RSP,text,4
.text.RECV_EV_CFW_NW_GET_FREQSCAN_V2_RSP,text,4
.text.RECV_EV_CFW_NW_GET_JAMMING_RSP,text,4
.text.RECV_EV_CFW_NW_MEASURE_RESULT_RSP,text,4
.text.RECV_EV_CFW_SIM_READ_VOICEMIAL_RSP,text,4
.text.RECV_EV_CFW_SIM_READ_FILES_RSP,text,4
.text.RECV_EV_CFW_CB_PAGE_IND,text,4
.text.RECV_EV_CFW_SIM_GET_SMS_PARAMETERS_RSP,text,16
.text.RECV_EV_CFW_SS_QUERY_CALL_FORWARDING_RSP,text,16
.text.RECV_EV_CFW_SS_SET_CALL_FORWARDING_RSP,text,16
.text.RECV_EV_CFW_SS_SEND_USSD_RSP,text,4
.text.RECV_EV_CFW_EMC_NUM_LIST_IND,text,16
.text.RECV_EV_CFW_SAT_REFRESH_FILE_CHG_RSP,text,8
.text.RECV_EV_CFW_SAT_RESPONSE_RSP,text,34
.text.RECV_EV_CFW_SIM_GET_EID_RSP,text,4
.text.RECV_EV_CFW_SIM_SET_SUSPEND_RSP,text,4
.text.RECV_EV_CFW_SIM_GET_ICCID_RSP,text,4
.text.RECV_EV_CFW_NW_JAMMING_RSSI_RSP,text,10
.text.RECV_EV_CFW_BLKLIST_GSM_PARAM_GET_IND,text,4
.text.RECV_EV_CFW_NW_NET_DL_PSM_PARAM_RSP,text,8
.text.RECV_EV_CFW_BLKLIST_LTE_PARAM_GET_IND,text,8
.text.RECV_EV_CFW_ERRC_IDL_MEAS_OFFSET_READ_RSP,text,8
.text.RECV_EV_CFW_ERRC_CONNSTATUS_V2_IND,text,8
.text.RECV_EV_CFW_ENG_EVENT_RPT_IND,text,8
.text.RECV_EV_CFW_ENG_STATIS_RPT_IND,text,10
.text.RECV_EV_CFW_GSM_RACH_RESULT_IND,text,8
.text.RECV_EV_CFW_ENG_STATIS_RPT_EL1_IND,text,8
.text.RECV_EV_CFW_ENG_EVENT_RPT_V2_IND,text,4
.text.RECV_EV_CFW_NW_EMM_FAILED_PROCEDURE_IND,text,4
.text.RECV_EV_DM_DAEMON_IND,text,4
.rodata.SMS_DeleteFromMeByStatusEX.str1.1,rodata,40
.text.SMS_DeleteFromMeByStatusEX,text,104
.text.SMS_AppendEX,text,92
.text.SMS_WriteEX,text,44
.rodata.SMS_GetStorageInfoEX.str1.1,rodata,34
.text.SMS_GetStorageInfoEX,text,120
.rodata.SMS_HaveFreeSlotEX.str1.1,rodata,32
.text.SMS_HaveFreeSlotEX,text,104
.text.SMS_SFSim2UserEX,text,104
.text.SMS_SFUser2SimEX,text,108
.text.SMS_ReadEX,text,56
.text.SMS_Read2EX,text,64
.text.CFW_MeReadMessageV2,text,60
.text.CFW_MeDeleteMessageV2,text,160
.text.CFW_MeWriteMessageV2,text,232
.text.CFW_MeListMessageV2,text,240
.text.CFW_MeGetStorageInfoV2,text,148
.text.SMS_DM_Init_V2,text,4
.text.SMS_DM_GetRange,text,38
.rodata.SMS_DM_Writeback.str1.1,rodata,14
.text.SMS_DM_Writeback,text,96
.text.SMS_DM_Update,text,96
.rodata.SMS_DM_Init.str1.1,rodata,25
.text.SMS_DM_Init,text,216
.text.SMS_DM_GetFreeIndexFromNv,text,88
.text.SMS_DM_Add,text,164
.text.SMS_DM_Read,text,120
.text.SMS_DM_OverWrite,text,132
.text.SMS_DM_Delete,text,116
.text.SMS_DM_DeleteEX,text,120
.text.SMS_DM_GetIndexByStatus,text,152
.text.prvRxDataCB,text,22
.text.prvDiagSendMulti.isra.0,text,136
.text.diagRegisterCmdHandle,text,44
.text.diagUnregisterCmdHandle,text,40
.text.diagOutputPacket,text,28
.text.diagBadCommand,text,28
.text.prvDiagUnknownHandler,text,10
.rodata.prvDiagRxProcess.str1.1,rodata,18
.text.prvDiagRxProcess,text,296
.text.diagOutputPacket2,text,68
.text.prvDiagBsEnter,text,44
.text.diagOutputPacket3,text,76
.text.diagInit,text,172
.text.diagDeviceName,text,32
.text._handleAtCheckRegister,text,52
.text._handleAtCmd,text,60
.text.diagAtWrite,text,60
.text.diagAtRead,text,12
.text.diagAtReadAvail,text,16
.text.diagAtOpen,text,60
.text.diagAtClose,text,6
.text.diagAtCreate,text,50
.text.diagAtDestroy,text,20
.text.prvAtCamThread,text,200
.text.prvGenerateRspMsg,text,30
.rodata._handleCameraPrev.str1.1,rodata,22
.text._handleCameraPrev,text,504
.text.diagCamPrevTestInit,text,16
.text._handleBattVoltage,text,46
.text._handleCharge,text,192
.text.diagChargeInit,text,36
.text._handleCurrentTest,text,20
.text.diagCurrentTestInit,text,16
.text.diagCalibPostInit,text,24
.text.prvMcuResp,text,78
.text.prvMcuReadWrite,text,408
.text.diagDebugReadWriteInit,text,16
.text._handleLog,text,28
.text.diagLogInit,text,16
.text._diagNvDirectProcess,text,416
.text._handleNvm,text,324
.text.diagNvmInit,text,60
.text.prvSendPacket.isra.0.constprop.0,text,44
.text.diagRunModeCheck,text,412
.rodata.GetBoardInfo.str1.1,rodata,159
.text.GetBoardInfo,text,84
.text._swver,text,50
.text.diagSwverInit,text,16
.text.osiBytesGetLe32,text,66
.text.osiBytesPutLe32,text,48
.text.prvReturnCode16,text,22
.text.prvListDir,text,302
.text.prvListPartition,text,182
.text._handleChangeMode,text,28
.text._handleSysInfo,text,1444
.text.diagSysEvent,text,38
.text.diagSysInit,text,36
.text.DiagHandleLteCalibration,text,28
.text.DiagHandleCalibration,text,312
.text.Layer1_RegCaliDiagHandle,text,48
.text.CamBf30a2TestMode,text,2
.text.CamBf30a2Brightness,text,2
.text.prvCamBf30a2PowerOff,text,52
.rodata.CamBf30a2GetSensorInfo.str1.1,rodata,28
.text.CamBf30a2GetSensorInfo,text,36
.text.CamBf30a2StopPrev,text,64
.rodata.prvCamIsrCB.str1.1,rodata,76
.text.prvCamIsrCB,text,1328
.text.prvCamBf30a2I2cClose,text,24
.text.CamBf30a2CaptureImage,text,68
.rodata.CamBf30a2PrevStart.str1.1,rodata,54
.text.CamBf30a2PrevStart,text,116
.text.CamBf30a2PrevNotify,text,56
.text.CamBf30a2Close,text,64
.text.CamBf30a2SetFalsh,text,40
.text.CamBf30a2Ev,text,2
.rodata.CamBf30a2GetId.str1.1,rodata,16
.text.CamBf30a2GetId,text,76
.text.CamBf30a2AWB,text,2
.text.CamBf30a2Contrast,text,2
.text.CamBf30a2ImageEffect,text,2
.text.prvCamBf30a2PowerOn,text,80
.rodata.prvCamBf30a2I2cOpen.str1.1,rodata,18
.text.prvCamBf30a2I2cOpen,text,52
.rodata.CamBf30a2Open.str1.1,rodata,71
.text.CamBf30a2Open,text,368
.rodata.CamBf30a2CheckId.str1.1,rodata,59
.rodata.quec_camBf30a2CheckId.str1.1,rodata,24
.text.quec_camBf30a2CheckId,text,264
.text.CamBf30a2Reg,text,148
.rodata.RG_InitVgaSingleSPI,rodata,216
.text._adcEnable,text,124
.text.prvAdcGetEffuseBits.constprop.0,text,20
.rodata.prvAdcEffuseValid.str1.1,rodata,198
.text.prvAdcEffuseValid,text,184
.rodata.prvAdcScale00EffuseGet.str1.1,rodata,72
.text.prvAdcScale00EffuseGet,text,76
.rodata.prvAdcScale01EffuseGet.str1.1,rodata,72
.text.prvAdcScale01EffuseGet,text,76
.rodata.prvAdcScale03EffuseGet.str1.1,rodata,129
.text.prvAdcScale03EffuseGet,text,104
.rodata.prvAdcChanAdcToVol.str1.1,rodata,66
.text.prvAdcChanAdcToVol,text,368
.rodata.drvAdcInit.str1.1,rodata,267
.text.drvAdcInit,text,376
.text.drvAdcGetRawValue,text,276
.text._drvGetAdcAverage,text,104
.text.drvAdcGetChannelVolt,text,132
.text._axidmaSuspend,text,44
.text._drvAxidmaIsr,text,102
.text.drvAxidmaChAllocate,text,52
.text.drvAxidmaChStart,text,160
.text.drvAxidmaChStop,text,116
.text.drvAxidmaChRelease,text,38
.text.drvAxidmaChBusy,text,22
.text.drvAxidmaResume,text,44
.text.drvAxidmaInit,text,152
.rodata._axidmaPmOps,rodata,16
.text.prvCamCtrlEnable,text,16
.text.drvCamSetMCLK,text,260
.text.drvCamDisableMCLK,text,16
.text.drvCamInitIfc,text,36
.text.drvCampStartTransfer,text,52
.text.drvCampStopTransfer,text,116
.text.drvCampIfcDeinit,text,12
.text.drvCamSetIrqHandler,text,40
.text.drvCamDisableIrq,text,6
.text.drvCamCmdSetFifoRst,text,16
.text.drvCamSetIrqMask,text,56
.text.drvCamClrIrqMask,text,20
.text.drvCamSetPdn,text,28
.text.drvCamSetRst,text,28
.text.drvCampRegInit,text,860
.text.drvCampRegDeInit,text,36
.text.drvCameraControllerEnable,text,8
.text.prvUartFifoWriteAll,text,46
.text.prvDummyRxCallback,text,6
.text.prvDuartSetRxCallback,text,20
.text.prvUartStartRxDma,text,32
.text.prvUartBsEnter,text,92
.text.prvDuartRead,text,6
.text.prvUartSetBaudDivider,text,116
.text.prvDuartPmResume,text,110
.text.prvUartTraceOutput.part.0,text,116
.text.prvDuartPmSuspend,text,72
.text.prvUartTracePush,text,42
.text.prvDuartSetTraceEnable,text,38
.text.prvUartBsPoll,text,84
.text.prvUartSendPacket,text,148
.text.prvUartISR,text,964
.text.drvDebugUartPortCreate,text,752
.rodata.gDuartPortOps,rodata,20
.rodata.gUartPmOps,rodata,16
.text.drvDebugPortRegister,text,16
.text.drvDebugPortFindByName,text,24
.text.drvDebugPortSendPacket,text,14
.text.drvDebugPortSetRxCallback,text,12
.text.drvDebugPortSetTraceEnable,text,12
.text.drvDebugPortRead,text,16
.text.drvDebugPortWorkEnable,text,12
.text.udcEpQueue,text,96
.text.udcEpDequeueAll,text,24
.text.udcEpAlloc,text,56
.text.udcEpFree,text,72
.text.udcXferAlloc,text,24
.text.udcXferFree,text,48
.text.udcEpEnable,text,64
.text.udcEpDisable,text,48
.text.udcGdbPollIntr,text,10
.text.prvUserialSetRxCallback,text,20
.text.prvUserialBsEnter,text,16
.text.prvUserialFreeUdcResources,text,50
.rodata.prvUserialSuspend.str1.1,rodata,35
.text.prvUserialSuspend,text,60
.text.prvUserialClose,text,60
.text.prvUserialDisable,text,104
.text.prvUserialUnbind,text,72
.text.prvUserialRead,text,16
.text.prvUserialWaitDirectTxFinishBs,text,54
.rodata.prvUserialStartTxLocked.str1.1,rodata,17
.text.prvUserialStartTxLocked,text,92
.text.prvUserialModemBufOutputLocked,text,148
.text.prvUserialStartTxTimer.isra.0,text,14
.rodata.prvUserialResume.str1.1,rodata,33
.text.prvUserialResume,text,76
.text.prvUserialOpen,text,76
.text.prvUserialSetTraceEnable,text,30
.text.prvUserialMosLogOutputLocked,text,56
.text.prvUserialRxStartLocked.part.0,text,104
.text.prvUserialTraceOutputLocked,text,180
.text.prvUserialWaitDirectTxFinish.isra.0,text,52
.text.prvUserialSendPacket,text,252
.text.prvUserialEnable,text,140
.text.prvUserialBind,text,212
.text.prvUserialModemLogOutputLocked,text,96
.text.prvUserialOutputTimeout,text,30
.text.prvUserialRxDoneCb,text,100
.text.prvUserialBsPoll,text,30
.text.prvUserialTxDoneCb,text,156
.text.usbDebugSerialGetOps,text,8
.rodata.drvDebugUserialPortCreate.str1.1,rodata,27
.text.drvDebugUserialPortCreate,text,396
.rodata.gDuserialPortOps,rodata,20
.rodata.gDuserialUsbOps,rodata,32
.text.prvDhostSetRxCallback,text,24
.text.prvDhostSuspend,text,2
.text.prvDhostResume,text,2
.text.prvDhostFifoWriteAll,text,88
.text.prvDhostRead,text,8
.text.prvDhostStartTxTimer.isra.0,text,38
.text.prvDhostTraceOutput.part.0,text,120
.text.prvDhostFifoRead.constprop.0,text,40
.text.prvDhostTraceTimeout,text,14
.text.prvDhostISR,text,156
.text.prvDhostSetTraceEnable,text,38
.text.prvDhostBsPoll,text,52
.text.prvDhostSendPacket,text,144
.text.drvDhostCreate,text,284
.text.drvDhostRestoreConfig,text,32
.text.prvDhostWorkEnable,text,208
.text.prvDhostBsEnter,text,100
.rodata.gDhostPmOps,rodata,16
.rodata.gDhostPortOps,rodata,20
.text._efuseConfigBlkId,text,16
.text.drvEfusePmicOpen,text,16
.text.drvEfusePmicClose,text,16
.rodata.drvEfusePmicRead.str1.1,rodata,72
.text.drvEfusePmicRead,text,228
.text._gpioSuspend,text,92
.text._gpioResume,text,116
.text._gpio2ISR,text,64
.text._gpio1ISR,text,64
.text.drvGpioReconfig,text,340
.text.drvGpioOpen,text,96
.text.drvGpioClose,text,156
.text.drvGpioRead,text,100
.text.quec_drvGpioOpen,text,80
.text.quec_drvGpioClose,text,44
.text.quec_drvGpioInit,text,244
.rodata._gpioPmOps,rodata,16
.text.prvGptSuspend,text,2
.text.prvGptResume,text,2
.text.drvGptSetClkSource,text,188
.text.drvGptRequest,text,96
.text.drvGptConfig,text,234
.text.drvGptToConfig,text,172
.text.drvGptEnable,text,86
.text.drvGptDisable,text,86
.text.drvGptFree,text,92
.rodata.CSWTCH.7,rodata,44
.rodata.gptPmOps,rodata,16
.text.prvHostCmdBsEnter,text,10
.text.prvHostCmdRxCallback,text,24
.text.prvHostCmdRxProcess,text,236
.text.drvHostCmdEngineCreate,text,160
.text.drvHostCmdSendResponse,text,58
.text.drvHostInvalidCmd,text,26
.text.drvHostCmdSendResultCode,text,18
.text.prvHostRead,text,124
.text.prvHostWrite32.isra.0,text,48
.text.drvHostReadWriteHandler,text,234
.text._i2cSuspend,text,20
.text._i2cSetClock,text,52
.text._i2cClearIrqStatus.isra.0,text,6
.text._i2cSendByte,text,200
.text._i2cSetAddress,text,176
.text._i2cGetByte.constprop.0,text,120
.text._i2cResume,text,28
.text.quec_getI2cMaster,text,16
.text.drvI2cMasterAcquire,text,280
.text.drvI2cMasterRelease,text,62
.text.drvI2cWrite,text,240
.text.drvI2cRead,text,228
.rodata.drvI2cWriteSalveData.str1.1,rodata,143
.text.drvI2cWriteSalveData,text,188
.rodata.drvI2cReadSlaveData.str1.1,rodata,121
.text.drvI2cReadSlaveData,text,204
.rodata._i2cPmOps,rodata,16
.rodata.hw_masters,rodata,24
.text.drvIfcChannelInit,text,92
.text.drvIfcRequestChannel,text,196
.text.drvIfcWaitChannel,text,28
.text.drvIfcReady,text,10
.text.drvIfcReleaseChannel,text,72
.text.drvIfcFlush,text,26
.text.drvIfcClearFlush,text,14
.text.drvIfcGetTC,text,10
.text.drvIfcStop,text,32
.text.drvIfcStart,text,74
.text.drvIfcStartThreshold,text,68
.text.drvIfcIsFifoEmpty,text,10
.text.drvIfcIsRunning,text,26
.text.drvIfcWaitDone,text,28
.rodata.gIfcDescs,rodata,272
.text.prvUartIsTxFifoEmptyInactive,text,22
.text.prvAllocBuf,text,300
.text.prvUartGetIrqn,text,64
.text.prvWakeReleaseLocked,text,68
.text.prvSleepTimeout,text,22
.text.prvUartPmPrepareAbort,text,32
.rodata.prvUartPmPrepare.str1.1,rodata,25
.text.prvUartPmPrepare,text,96
.text.prvUartPmSuspend,text,108
.text.prvSendDmaMode,text,132
.text.prvStartRxDma,text,80
.text.prvUartPmResume,text,68
.text.quec_uart_tx_data_needed_irq_mask,text,14
.rodata.prvUartISR.str1.1,rodata,27
.text.drvUartSendAll,text,78
.text.drvUartWaitTxFinish,text,102
.text.prvShutdownCb,text,18
.text.drvUartSetAutoSleep,text,104
.text.drvUartCreate,text,352
.text.drvUartOpen,text,812
.text.drvUartClose,text,152
.text.drvUartReceive,text,78
.text.drvUartDestroy,text,76
.text.drvUartSetCallback,text,12
.text.drvUartConfig,text,6
.text.drvUartGetName,text,8
.text.drvUartAttributeFromName,text,88
.text.drvUartReconfig,text,120
.text.drvUartReadAvail,text,22
.text.drvUartWriteAvail,text,20
.text.quec_uart_get_tx_status,text,26
.rodata._uartPmOps,rodata,16
.rodata.gUartHWDesc,rodata,192
.text.at_int_handler,text,288
.text.ipc_at_init,text,100
.text._keyCallback,text,44
.text.prvGetKeyCode,text,40
.text._keypadSearch,text,114
.text._KeypadIsrCB,text,124
.text.drvKeypadSetCB,text,20
.text.drvKeypadOpen,text,84
.text.drvKeypadInit,text,104
.text._lcdPutSemaphore,text,12
.rodata.quec_lcd_clear_offset.str1.1,rodata,20
.text.quec_lcd_clear_offset,text,76
.rodata.quec_lcd_set_offset.str1.1,rodata,18
.text.quec_lcd_set_offset,text,76
.rodata.quec_drvLcdGetLcdInfo.str1.1,rodata,29
.text.quec_drvLcdGetLcdInfo,text,32
.text.drvLcdConfigGoudaLayers,text,332
.text.drvLcdEnterSleep,text,188
.text.drvLcdSetDisplayWindow,text,28
.text.drvLcdSetBlockBuffer,text,36
.text.drvDisableBlock,text,48
.text._drvLcdHandler,text,68
.text.drvLcdEnableBlock,text,48
.text.drvLcdDisableAllBlock,text,44
.text.drvLcdConfigBlock,text,180
.text.drvLcdInvalidateRect,text,120
.text.drvLcdBlockTransfer,text,292
.text.drvLcdInit,text,200
.rodata.CSWTCH.58,rodata,5
.rodata.gd_lcd_config,rodata,4
.text._st7789h2EsdCheck,text,20
.text._st7789h2ReadId,text,180
.text._st7789h2SetDisplayWindow,text,196
.text._st7789h2RotationInvalidateRect,text,64
.text._st7789h2Invalidate,text,52
.text._st7789h2InvalidateRect,text,108
.text._st7789h2Init,text,712
.text._st7789h2SleepIn,text,88
.text._st7789h2Close,text,32
.rodata.st7789h2sOperations,rodata,40
.rodata._st7789vEsdCheck.str1.1,rodata,22
.text._st7789vEsdCheck,text,20
.rodata._st7789vReadId.str1.1,rodata,100
.text._st7789vReadId,text,188
.rodata._st7789vSetDisplayWindow.str1.1,rodata,62
.text._st7789vSetDisplayWindow,text,196
.rodata._st7789vRotationInvalidateRect.str1.1,rodata,43
.text._st7789vRotationInvalidateRect,text,64
.rodata._st7789vInvalidate.str1.1,rodata,31
.text._st7789vInvalidate,text,52
.rodata._st7789vInvalidateRect.str1.1,rodata,29
.text._st7789vInvalidateRect,text,108
.rodata._st7789vInit.str1.1,rodata,22
.text._st7789vInit,text,700
.rodata._st7789vSleepIn.str1.1,rodata,38
.text._st7789vSleepIn,text,88
.rodata._st7789vClose.str1.1,rodata,26
.text._st7789vClose,text,32
.rodata.st7789vOperations,rodata,40
.text.prvPanelConfig,text,100
.text.prvGoudaInit,text,216
.text.prvGoudaISR,text,44
.text.prvGoudaDeinit,text,64
.text.prvWaitGouda,text,48
.text.prvSetVideoLayer,text,496
.text.prvSetOverlay,text,192
.text.drvSwitchLCDPower,text,76
.text.prvSetPowerEnable,text,72
.text.drvLcdInitV2,text,68
.text.drvLcdGetByname,text,24
.text.drvLcdGetPanelInfo,text,116
.text.drvLcdSetDesc,text,96
.text.drvLcdOpenV2,text,156
.text.drvLcdCloseV2,text,76
.text.drvLcdSetBackLightEnable,text,12
.text.drvLcdFlush,text,272
.text.drvLcdFill,text,124
.text.drvLcdGetDesc,text,4
.text.drvLcdWriteCmd,text,44
.text.drvLcdWriteData,text,44
.text.drvLcdReadData,text,192
.text._threadEntry,text,24
.text._nvmNotify,text,20
.text._nvmResponse,text,64
.rodata._nvmHandler.str1.1,rodata,235
.text._nvmHandler,text,536
.rodata.drvNvmIpcInit.str1.1,rodata,7
.text.drvNvmIpcInit,text,116
.rodata.drvNvmSendCalibCmd.str1.1,rodata,11
.text.drvNvmSendCalibCmd,text,180
.rodata.drvModemLogBufInitCp.str1.1,rodata,9
.text.drvModemLogBufInitCp,text,28
.rodata.drvModemLogBufInitZsp.str1.1,rodata,10
.text.drvModemLogBufInitZsp,text,28
.rodata.drvModemLogBufInitMos.str1.1,rodata,8
.text.drvModemLogBufInitMos,text,28
.text.drvModemLogLinearBuf,text,136
.text.drvModemLogBufAdvance,text,26
.text._pmicEicISR,text,100
.text._pmicISR,text,108
.text.drvPmicIntrInit,text,184
.text.drvPmicIntrEnable,text,60
.text.drvPmicEicSetCB,text,24
.text.drvPmicEicTrigger,text,144
.text.drvPmicEicGetLevel,text,68
.text.prvUplinkCacheTimeout,text,52
.text.prvReleaseChain,text,22
.text.prvDownlinkProcess,text,324
.text.prvNotify,text,22
.rodata.drvPsPathInit.str1.1,rodata,15
.text.drvPsPathInit,text,248
.text.drvPsIntfOpen,text,160
.text.drvPsIntfClose,text,112
.text.drvPsIntfSetDataArriveCB,text,26
.text.drvPsIntfRead,text,224
.text.drvPsIntfWrite,text,292
.text.prvPbintIsrCB,text,68
.text.drvPwrkeyEnable,text,100
.text.drvPwrkeyPressed,text,32
.text.drvpowerkeyState,text,16
.text.quec_power_key_status_refresh,text,56
.text.drvRngGenerate_,text,24
.text.drvRngGenerateInit,text,60
.text.drvRngGenerate,text,12
.text.prvTimerTimeout,text,16
.text.prvFreeAllAlarms,text,34
.text.prvNextExpire,text,134
.text.prvInsertAlarm,text,56
.text.prvRtcAlarmDecode,text,140
.text.prvRtcAlarmHeadEncode.isra.0,text,152
.text.prvRtcAlarmEncode,text,36
.rodata.prvStorenv.constprop.0.str1.1,rodata,18
.text.prvStorenv.constprop.0,text,164
.text.prvHandleAlarm,text,408
.text.drvRtcHandleAlarm,text,16
.text.drvRtcSetAlarm,text,216
.text.drvRtcRemoveAlarm,text,104
.text.drvRtcAlarmOwnerSetCB,text,168
.text.drvRtcRemoveAllAlarms,text,44
.text.drvRtcUpdateTime,text,228
.rodata.drvRtcInit.str1.1,rodata,49
.text.drvRtcInit,text,632
.text.drvRtcGetWakeupTime,text,52
.rodata.pbDrvRtcAlarm_fields,rodata,90
.rodata.pbDrvRtc_fields,rodata,30
.text.prvRtcIntrCB,text,136
.text.drvRtcHalWriteSecond,text,192
.text.drvRtcHalUnsetAlarm,text,40
.text.drvRtcHalSetAlarm,text,216
.text.drvRtcHalInit,text,56
.text.prvGetSerial_,text,36
.text.prvGetSerialInit,text,56
.text.drvSerialAcquire,text,76
.text.drvSerialOpen,text,88
.text.drvSerialClose,text,30
.text.drvSerialRelease,text,36
.text.drvSerialWrite,text,30
.text.drvSerialRead,text,30
.text.drvSerialReadAvail,text,28
.text.drvSerialWriteAvail,text,28
.text.drvSerialWaitWriteAvail,text,28
.text.drvSerialWaitWriteFinish,text,28
.text.drvSerialRegisterImpl,text,92
.text.drvSerialUnregisterImpl,text,68
.rodata.kSerialNames,rodata,32
.text.prvSpiFifoReset,text,16
.rodata.prvSpiWaitBusIdle.str1.1,rodata,73
.text.prvSpiWaitBusIdle,text,88
.rodata._spiSuspend.str1.1,rodata,12
.text._spiSuspend,text,20
.rodata.prvSpiWritePolling.str1.1,rodata,69
.text.prvSpiWritePolling,text,212
